,Address,dublinRegionString,Bedroom,Bathroom,PropertyType,originalPrice,Price,Description
67,"123 Oliver Plunkett Road, Monkstown, Co. Dublin",Other,2 ,1 ,House,"€2,200 per month",2200,"Please note this house is viewing tomorrow Wednesday at 6.45pm..Please confirm attendance by email.

A great opportunity to rent a two bedroom mid terrace house with a bright and spacious interior and which enjoys a great location close to a host of shops nearby..
Oliver Plunkett road is an great residential location which is superbly located with retail and recreational centres close by.

Features include bright and airy accommodation.
Timber floors in Living area,kitchen appliances oven, hob,fridge/freezer.
Washing machine.
Gas Central Heating on top up card system.
Off- Street parking driveway.
Close to many shops and amenities.
Ready to move into circa approx early December.

Accommodation: 

Accommodation comprises of Ground floor,Living room to the front of the property overlooking the drive way.Dining room to the other side of the property overlooking the drive way. Kitchen  area also to the rear of the property overlooking the rear garden.
Upstairs comprises of one double bedroom amd a twin room with a single bed.Main shower room located off the landling area.

Outside: 

To the front of the property there is a level garden with off street parking.Rear garden which is laid out in lawn. 


 "
68,"Cloragh Mills, Edmondstown Road, Rathfarnham, Dublin 14",14,2 ,2 ,Apartment,"€1,769 per month",1769,"***Please Note: We are not taking phonecall enquiries on this property. If you would like to be added to the waiting list for viewing, Please apply to this advertisement online Only, we are not taking enquiries by phone. Please leave your name, number and email address. When its available for viewing, we will contact you *** 
Conerney Estate Agents are delighted to present to market this fabulous two bedroom, two bathroom, unfurnished, ground floor apartment for rent on Edmondstown Road.
Presented in walk-in condition throughout having been very well maintained by owners, this property would be a delight to occupy.
Fully fitted kitchen supplied with all mod cons, gas fired central heating, high-speed interrnet connection and set in a very popular and convenient location.
There is secure gated underground carpark for two cars, at an extra charge €50 per space, per month.
(Please note, the extra charge for parking is applicable if the parking is used or not)
Secure keypad entry system and Fully Alarmed.
Picturesque setting, close to the Dublin mountains.
Private balcony to the rear that is not overlooked.
Viewing of this excellent apartment is highly advised and strictly by appointment only.
To be added to the waiting list for viewings, please apply online only, leave your name and number and we will get right back to you.

VIEWING HIGHLY RECOMMENDED!"
69,"Apartment 43, The Moyle, Prospect Hill, Finglas, Dublin 11",11,1 ,1 ,Apartment,"€1,600 per month",1600,"1st Class Letting &amp; Property Management  are delighted to bring to the rental market this first time let , third floor apartment ideally located in this very central complex.

This newly refurbished property has a nice size bright sitting room , modern kitchen with integrated appliances , good size double bedroom with fitted wardrobes , good size bathroom and a storage room.

Gas central heating and underground parking.

Please register your interest by EMAIL ONLY and we will get back to you to arrange access once have a key.
The complex is in an ideal location with many local amenities including shops, schools, restaurants, bus stops, etc in close proximity.

Quiet location close to all amenities including:
-  4 mins drive to Clearwater shopping centre 
- 15 mins walk to Finglas village which includes bus routes 40 and 140 into Dublin city centre 
- 15 mins walk to St Canices Boys National School 
- 15 mins walk to St. Mary's Secondary School
- Within walking distance to the National Botanic Gardens, the Met Office, Glasnevin Cemetery and Bon Secour Hospital. 
- Located on a direct bus corridor to city centre and walking distance to Luas and trains at Broombridge."
70,"92 Bridge Water Quay, Islandbridge, Dublin 8",8,2 ,1 ,Apartment,"€2,024 per month",2024,"Superb light filled two bedroom apartment available to rent in one of the most sought after developments in Island Bridge, Bridgewater Quay. This property is furnished to an extremely high standard. Accommodation comprises of a welcoming entrance hallway leading through to a bright open plan living  / kitchen area with chest nut laminated flooring &amp; warm neutral colours throughout. The living area is light filled and radiates with stylish décor throughout. The kitchen is high gloss and contemporary in design boasting splash back tiling, integrated appliances and plenty of counter &amp; cupboard space. Two double bedrooms both decent in size with fitted wardrobes, laminated flooring and ample storage space provided in each. Fully - tiled spacious family bathroom with mirror &amp; sanitary ware. Lovely relaxing patio area to the rear of the property completing the finish of this must see apartment!
Viewing by appointment only"
71,"Apartment Block 1/2, Gracepark Manor, Drumcondra, Dublin 3",3,2 ,2 ,Apartment,"€2,400 per month",2400,"Sherry FitzGerald Lettings are delighted to bring this Spacious two-bedroom apartment to the market in a mature gated development. The property itself is 2 double bedrooms one with en suite, there is also another main bathroom, Fully fitted modern Kitchen and ample bright living space with a private balcony. The apartment is located on the first floor of this sought-after development. The complex is accessed through electric gates with a winding driveway leading into a large underground car park. All apartments in the development enjoy lift access. The complex boasts a light filled lobby with feature atrium and beautifully landscaped gardens. Located within walking distance of the City Centre and convenient to the numerous shops, cafes, bars and restaurants Drumcondra Village has to offer. Easy access is enjoyed to the IFSC, East Point Business Park, Dublin Airport, Beaumont, Mater &amp; Temple Street Hospitals, DCU and Trinity and the M1 &amp; M50 motorways. The area is very well serviced by a great public transport system. The green open spaces nearby and its close proximity to the city make it a unique location. You can walk to Drumcondra Station to use the Arrow rail service and there are also numerous bus routes servicing Drumcondra, including a Quality Bus Corridor (QBC). This apartment comes furnished and is available immediately."
72,"Apartment 25, Shelbourne Park Mews, Dublin 4",4,2 ,1 ,Apartment,"€2,224 per month",2224,"* PLEASE EMAIL ONLY AND WE WILL REVERT WITH VIEWING OPTIONS * 

Bright and spacious two bedroom apartment located on the 2nd floor in this much sought after and popular development in Ringsend.This apartment is presented in excellent condition throughout and is provided fully furnished. All imaginable amenities are within walking distance and these include shops, restaurants, pubs, leisure facilities and public transport facilities including the DART. The spacious accommodation which is well laid out and briefly comprises, entrance hallway, living room / dining room, kitchen, two double bedroom, bathroom and benefits from ample storage."
73,"Longford Terrace, Monkstown, Monkstown, Co. Dublin",Other,4 ,3 ,House,"€8,500 per month",8500,"South County Properties are pleased to present this stunning period home to the rental market.  This is a wonderful and rare opportunity to live at this superb Monkstown address, with breathtaking views of Dublin Bay and beyond.  

This grand property offers very spacious accommodation and is conveniently located in the highly sought after seaside village of Monkstown.  Monkstown is one of Dublinââ‚¬â„¢s premier addresses with its high end speciality shops, restaurants, bars, and cafes, literally at your doorstep.  Seapoint swimming area is located across the road, simply look outside of your window to check the swimming conditions.  The DART is located across the road for easy access in both directions and the area is also serviced very well with numerous bus routes.  

There are a host of Dublinââ‚¬â„¢s finest schools nearby including CBC Monkstown, Scoil Lorcan, Monkstown Educate Together, St Andrews, Willow Park, Blackrock College, St Michaelââ‚¬â„¢s, Sion Hill, Newpark Comprehensive, to name a few.  

Featuring
*Very spacious accommodation
*Breathtaking views of Seapoint &amp; Dublin Bay 
*Blue ribbon Monkstown Village address
*Superb schools situated nearby with easy access with public transport
*Located directly opposite Salthill &amp; Monkstown DART Station
*Public transport literally at your doorstep
*Low maintenance entertainers rear courtyard
*Parking for two cars
*Unfurnished

Basement level (office) is excluded from the tenancy.

This is a rare lifestyle opportunity not to missed. 

Please contact us for a private viewing.



PSRA 003998."
74,"Apartment 40, Brooklands, Ballsbridge, Dublin 4",4,2 ,1 ,Apartment,"€2,500 per month",2500,"Clare Connolly Estate Agent is delighted to present 40 Brooklands to the lettings market. 

This property is a charming, light-filled, ground floor apartment. 
Accommodation includes the entrance hall which opens onto a generous sized living/dining area. The kitchen is just off the living area. There are two double bedrooms and a main bathroom. There is a small utility room with washer and dryer. 

Brooklands is superbly located just off Nutley Lane, one of Dublin's most popular locations. St. Vincent's hospital is directly across the road, while RTE Studios, and UCD Campus are both close by. There are several excellent schools in the area including St Michael's and The Teresian School. The property is adjacent to the Merrion Shopping Centre, and the villages of Ballsbridge, Donnybrook and Blackrock are all a short drive away. 

The area is well served with transport links, which include a number of bus routes along both the Stillorgan Road and Merrion Road, travelling directly to Dublin City Centre. 

If you wish to view this property, or have any further queries please email the address provided."
75,"Ross, Seafield Road, Killiney, Co. Dublin",Other,3 ,3 ,House,"€6,000 per month",6000,"Clare Connolly Estate Agent is delighted to present Ross, Seafield Road to the market for short let.

Stunning 3 bed, 3 bath gated property on Seafield Road in Killiney. It has been entirely renovated to an exceptionally high standard with an BER A rating. There are excellent transport links in the area with the  Killiney DART Station within a short walk. The M50 and N11 Motorways are within easy reach to commute to the city centre or beyond. The villages of Dalkey, Killiney and Shankill villages are all in close proximity offering a huge range of boutique shops, trendy restaurants and an abundance of leisure facilities."
76,"Honeysuckle Mews, 33A Park Avenue, Sandymount, Dublin 4",4,3 ,3 ,House,"€7,000 per month",7000,"Clare Connolly Estate Agent is delighted to present Honeysuckle Mews to the market for short let. Honeysuckle Mews is a stunning 3 bed, 3 bath, private and secluded home. Superbly located on Park Avenue, it is within strolling distance of Sandymount village, giving access to a host of amazing amenities. The property is approximately a 15-minute walk from the Sandymount seafront &amp; beach. The area is served with excellent transport links with the DART within walking distance. There are also a number of bus routes which travel directly to the city centre. Sandymount itself is approximately 4Km from the city centre. There are also excellent sporting facilities in the area which include Railway Union, Monkstown Rugby Club, Westwood Gym and Clan na Gael. The Aviva Stadium, and RDS are in close proximity, and there are several wonderful restaurants, cafes and bars in Ballsbridge and Bath Avenue both of which are nearby. The accommodation has been cleverly designed, featuring an open plan living room with wooden flooring and a stunning custom-made staircase to the upstairs level. There is a fully integrated kitchen to the rear of the living room. Behind the kitchen is the dining area; Double doors from the dining area open onto a stunning light-filled sitting/drawing room. The sitting room/drawing room faces onto a beautiful rear garden which offers complete privacy and a has a south facing aspect. There is one double bedroom, with en suite on the lower level and an additional room which is fitted out as an office/study space. The upstairs accommodation includes two generous sized double bedrooms one of which is en suite, as well as one main family bathroom. The property is fully alarmed, and has gas fired central heating. There is parking for 2 cars in the driveway.

Maximum stay: 5 Months"
77,"Park House, Eglinton Terrace",Other,1 ,2 ,Apartment,"€1,800 per month",1800,"EMAIL ENQUIRIES ONLY!

Keane Thompson introduce this ground floor 1-bedroom, 2 bathroom apartment attached to the rear of the main Park House To Let.  The property is in excellent condition and has just been completely renovated and offers bright, modern and contemporary accommodation.

Accommodation comprises of living room/dining room with sliding doors to a private courtyard, fully fitted kitchen with full range of integrated kitchen appliances, one double bedroom with fitted wardrobes, en-suite with shower, and a separate guest WC. 

The location is second to none being situated within walking distance to Dundrum Town Centre which boasts designer shops, bars, upmarket restaurants and much more. The LUAS is just minutes away and there are a host of further amenities in Ballinteer and Rathfarnham."
78,"Grange View Walk, Clondalkin, Dublin 22",22,3 ,2 ,House,"€2,300 per month",2300,"**RAY COOKE LETTINGS - PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

RAY COOKE LETTINGS are delighted to presentthis fine 3 bed semi detached property coming to the market In Grangeview Walk , Clondalkin. Grangeview is located in a superb location close to all amenities of clondalkin village and located near the N7 with easy access to M50 &amp; Luas station. . Living accommodation comprises of entrance hall, kitchen/diningroom, lounge, three bedrooms(2 double/1 single) main bathroom and master bedroom ensuite. This home is in superb condition and is sure to attract a lot of interest. The rear garden is maintained to a high standard and easy to maintain. Extra Features; - Lovely condition throughout - Private rear garden - Double glazed windows - Gas fired central heating - Large bedrooms Bathroom &amp; ensuite - Ample off street parking This house is available soon and we will come back to you when a viewing has been set up.

***RAY COOKE LETTINGS - EMAIL ENQUIRY ONLY/NO PHONE CALLS PLEASE - FILL IN YOUR CONTACT INFORMATION AND WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
79,"Cedarbrook Avenue, Cherry Orchard, Dublin 22",22,2 ,1 ,Apartment,"€1,671 per month",1671,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

*** LUXURY APARTMENT *** SUPERB LOCATION *** VERY SPACIOUS 

Ray Cooke Lettings are delighted to present this bright &amp; spacious two bedroom apartment to the market in the ever popular and extremely sought after location of Cedarbrook Avenue, Cherry Orchard, Dublin 10.  
This superb development boasts an idyllic setting within walking distance of Parkwest Train Station, bringing you directly into Heuston Station within minutes, and a host of bus routes found within arm's reach. Dublin City centre is only a short drive or quick hop on the close by train. The apartment is very well laid out with well-proportioned rooms and is superbly maintained by its current owner. Location is ideal being close to every conceivable amenity including schools, shops, bars and restaurants, parks, sports and leisure facilities, public transport and walking distance of Parkwest Train Station, host of shops and cafes as well as a number of bus routes. 
Bright and spacious accommodation comprises entrance hall, lounge, kitchen, two double bedrooms and main family bathroom. Viewing is highly recommended!

Key Features: 

- Fully fitted modern kitchen 
- Two large double bedroom 
- Secure parking 
- Available Now
- Location Location Location 
- Large lounge area
- Short walk to Train Station


**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
80,"Kilwarden Court, Clondalkin, Dublin 22",22,2 ,1 ,Apartment,"€1,900 per month",1900,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

RAY COOKE LETTINGS are delighted to present this stunning 2 Bedroom apartment to the letting market. This highly sought after development is located just off the Boot Road and ideally positioned within walking distance of Clondalkin Village and every conceivable amenity including shops, shopping centres, restaurants, schools and leisure facilities. Living accommodation comprises of an entrance hallway with store room, lounge/dining room, kitchen, spacious double bedroom and a main bathroom. This property is presented in clean condition throughout and also boast a balcony. Features: - Double glazed windows - Electric storage heating - Clean condition throughout - Double bedroom - Fitted kitchen - Balcony off lounge - Within minutes walk of Clondalkin Village - M50 Motorway &amp; The Luas within arm\'s reach

***RAY COOKE LETTINGS €"" EMAIL ENQUIRY ONLY/NO PHONE CALLS PLEASE €"" FILL IN YOUR CONTACT INFORMATION AND WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
81,"Virginia Heights, Tallaght, Dublin 24",24,2 ,2 ,Apartment,"€1,950 per month",1950,"***RAY COOKE LETTINGS - PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST!- VIDEO VIEWINGS AVAILALE ON REQUEST** ** **2 BED *** 2BATH ***APARTMENT **** LETTING *** Ray Cooke Lettings are delighted to present this refurbished 2 bed Studio apartment to the market in the sought after Location Virginia Hall Tallaght Fabulous large two bedroomed apartment to rent. Property consists of two double bedrooms, two bathroom, storage unit, large sitting room/ kitchen &amp; the property has a large balcony . All amenities are located on your door step with the square shopping centre located directly across the road. The red Luas line and all major bus routes are located within seconds from the development allowing public transport to be care free and easy. M50 is also located within minutes from the development. Viewing highly recommended! Key Features: - Balcony - 2 Double bedrooms - Gas central heating -Fully fitted kitchen **RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
82,"Cherryfield Park, Hartstown, Dublin 15",15,3 ,1 ,House,"€2,153 per month",2153,"**RAY COOKE LETTINGS €� PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

***STUNNING 3 BEDROOM BUNGALOW**********RECENTLY REFURBISHED********GREAT LOCATION********AVAILABLE NOW!!!

RAY COOKE LETTINGS are proud to present this superb Three bedroom Bungalow located in the much sought after location of Hartstown, Blanchardstown, Dublin 15.

This fine property has been recently redecorated and is presented in great condition throughout. Living accommodation comprises of entrance, lounge, open plan kitchen/dining, main bathroom, Two double bedrooms and one single. Hartstown, is one of Dublin 15 most sought after areas and is located close to the N3 and M50 Motorway.

The location is truly next to none and is close to all amenities including, shops, schools and bus routes. Additional Features;

Additional Features:

- Totally Refurbished house
- Gas Fired central heating
- Fully tiled bathroom with electric shower
- Quiet and peaceful estate
- Fully fitted kitchen
- Generous sized  bedrooms
- Off Street parking
- Ideal location
- Within arm€TM reach of a host of amenities
- Within easy reach of the N3 and M50 Motorway
- Available immediately!!!

RAY COOKE LETTINGS €"" EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- CLICK EMAIL ADVERTISER &amp; FILL IN YOUR CONTACT INFORMATION €"" WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE***"
83,"Armagh Road, Crumlin, Dublin 12",12,1 ,2 ,Apartment,"€1,750 per month",1750,"**RAY COOKE LETTINGS "" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

*** 2 BEDROOM 1 BATH APARTMENT *** VERY SPACIOUS *** GREAT LOCATION *** Ray Cooke Lettings are delighted to present this superb two-bedroom two bath apartment to the letting market ideally situated in the ever popular Armagh Road, Crumlin. The accommodation briefly comprises; entrance hallway, large living room, fully fitted kitchen, spacious bathroom and two double bedrooms. Within arm's reach you will find a host of local shops  convenience stores, recreation facilities and crumlin Children's Hospital. The area is well serviced by public transport with regular Dublin Bus routes only 5 minutes' walk away and the LUAS is only a few minutes' walk away. Cycling to the city centre also only takes a mere 15 minutes. A fantastic road network is also nearby with the M50 and N7 within a few minutes' drive easily connecting one with the greater Dublin area and beyond.

Key Features:

- 2 bed/1 bath

- Immaculately presented throughout

- Fully fitted kitchen

- Spacious living accommodation

- Generous main bathroom

- Location location location

**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
84,"Belfry Avenue, Citywest, Dublin 24, Co. Dublin",24,1 ,1 ,Apartment,"€1,500 per month",1500,"**RAY COOKE LETTINGS - PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST** 

*** STUNNING FLAT *** PRIME LOCATION *** VERY SPACIOUS *** 

Ray Cooke Lettings are delighted to present this bright &amp; spacious one bedroom granny flat to the market in the ever popular and extremely sought after location of Belfry Green, Citywest. This truly stunning development finds itself overlooking a large green area. The property itself is within a stone's throw of the newly built Citywest Shopping Centre, Citywest Business Park, The Luas, the N7, N81 and the M50 motorway. The location is truly next to none. Living accommodation comprises of fully fitted modern kitchen, large double bedroom and bathroom. 

Key Features: - Fully fitted modern kitchen - Two large double bedrooms - Spacious rear garden - Gas fired central heating - Large lounge area - Short walk to Luas - Short walk to city west shopping centre - Prime location - Overlooking a large green area 

**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
85,"Cabra Drive, Cabra, Dublin 7",7,4 ,1 ,House,"€3,000 per month",3000,"RAY COOKE LETTINGS- Follow us on Facebook Ray Cooke Lettings &amp; Instagram Ray Cooke Auctioneer's to see our new listings first!! 

**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE*** 

****BEAUTIFUL 4 BEDROOM HOUSE*****RECENTLY REFURBISHED*****HUGE SUNNY REAR GARDEN WITH SIDE ENTRANCE*****IDEAL LOCATION CLOSE TO CITY CENTRE**** 

RAY COOKE LETTINGS are proud to present this beautiful and spacious 4 bedroom house which is centrally located and nicely tucked away in the very sought after neighborhood of Cabra Drive, Cabra, Dublin 7. The house comprises of an entrance hallway, Spacious Lounge, Dining area,  fully fitted kitchen Extension with all mod cons, Huge rear Garden with side entrance and Storage Shed, 4 Bedrooms, 3 Double and 1 Single all complete with fitted wardrobes and storage space, fully tiled bathroom with power shower. There is Ample Off-street parking at the front of the property. The rear garden is beautifully maintained with plenty of green area. The location of the property could not be more convenient- it is in walking distance to every conceivable amenity including Heuston Train Station and LUAS stop, the Phoenix Park, Dublin ZOO, the Lighthouse Cinema, Law Library and all amenities of Dublin's City Centre are on your doorstep. The Luas allows for easy access to both the 3Arena, I.F.S.C. and the City Centre. Extra features: 

Recently refurbished 4 Bedroom House
3 Double / 1 Single Bedrooms with Ample storage space
Extra Large Sunny rear garden with side entrance and Storage shed
Large Kitchen extension to the rear with all Mod-cons
Gas fired central heating
Spacious living areas throughout
Fully tiled bathroom with electric shower
Off Street Parking to the Front
Cul De Sac Position
Fully furnished throughout 
Brilliant Location (Walking distance to city Centre) LUAS and Train station close by. 
LOCATION LOCATION LOCATION!!! 


**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE"
86,"Killinarden Heights, Tallaght, Dublin 24",24,3 ,1 ,House,"€2,300 per month",2300,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

*** LUXURY HOUSE ***RECENTLY REFURBISHED  *** VERY SPACIOUS 

Ray Cooke Lettings are delighted to present this bright &amp; spacious three bedroom house to the market in the ever popular and extremely sought after location of Killinarden.
This stunning house is situated close to the square shopping centre. This house is very well laid out with well-proportioned rooms and is superbly maintained. 
Location is ideal being close to every conceivable amenity including schools, shops, bars and restaurants, parks, sports and leisure facilities and public transport. 
Bright and spacious accommodation comprises entrance hall, kitchen, Three large bedroom with one bathroom. Viewing is highly recommended!

Key Features: 

- Fully fitted modern kitchen 
- Three Bed, One Bathroom
- Currently Being Refurbished
- Available Now
- Large rear garden
- Location Location Location
- Short walk to public transport


**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
87,"Rugby Road, Ranelagh, Dublin 6",6,2 ,1 ,House,"€2,482 per month",2482,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

RAY COOKE are delighted to present this Stunning two bedroom terraced property to the letting market ideally located in Ranelagh just south of the City Centre. It is located on a quiet residential road and is just minutes walk from Ranelagh village and the Luas line. Ranelagh Village offers a host of amenities including shops, restaurants and bars. Many of the principal places of business such as Baggot Street, Leeson Street and Stephens Green are also within walking distance. This stunning property offers bright accommodation and briefly comprises of; Ground floor; Living room, dining room, storage closet and kitchen/breakfast room with doors leading to the rear garden which completes the accommodation on the ground floor. First floor consists of two large double bedrooms and a tiled main bathroom. The property has been recently refurbished and also boasts a graveled front garden. Features: - Gas fired Central Heating - Stunning condition throughout - Washing machine/ Dryer - Back patio with gated access - Two fireplaces - Fully Tiled bathroom - Double glazed windows - Parking permit available - Luas 500m from the property 

***RAY COOKE LETTINGS €"" EMAIL ENQUIRY ONLY/NO PHONE CALLS PLEASE €"" FILL IN YOUR CONTACT INFORMATION AND WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
88,"Ellensborough Lodge, Tallaght, Dublin 24",24,2 ,1 ,Apartment,"€1,950 per month",1950,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

RAY COOKE are delighted to present this bright &amp; spacious two bedroom apartment to the market in the ever popular and extremely sought after location of Ellensborough Lodge, Tallaght The truly stunning secure gated development is set within minutes of the N81 and M50 motorway and only a stones throw from the Tallaght Village. The apartment is very well laid out with well-proportioned rooms and is currently undergoing complete renovations throughout the entire apartment, more photos to follow. The location is ideal being close to every conceivable amenity including schools, shops, bars and restaurants, parks, sports and leisure facilities, public transport and a short distance of the square shopping centre,Tallaght hospital , Redline Luas stop Bright and spacious accommodation comprises entrance hall, lounge, kitchen, two double bedrooms (one with ensuite) and main family bathroom. Key Features: - Fully fitted kitchen - Two large double bedroom - Secure gated development - Location Location Location - Large lounge area €"" Undergoing complete renovation throughout - Available 07/11/2022
***RAY COOKE LETTINGS €"" EMAIL ENQUIRY ONLY/NO PHONE CALLS PLEASE €"" FILL IN YOUR CONTACT INFORMATION AND WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
89,"Kilclare Drive, Tallaght, Dublin 24",24,2 ,2 ,House,"€2,100 per month",2100,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

*** LUXURY HOUSE ***RECENTLY REFURBISHED  *** VERY SPACIOUS 

Ray Cooke Lettings are delighted to present this bright &amp; spacious two bedroom house to the market in the ever popular and extremely sought after location of Kilclare Drive.
This stunning house is situated close to the square shopping centre. This house is very well laid out with well-proportioned rooms and is superbly maintained. 
Location is ideal being close to every conceivable amenity including schools, shops, bars and restaurants, parks, sports and leisure facilities and public transport. 
Bright and spacious accommodation comprises entrance hall, kitchen, Two large double bedroom with two bathrooms. Viewing is highly recommended!

Key Features: 

- Fully fitted modern kitchen 
- Two bed, Two Bathroom
- Recently Refurbished
- Available Now
- Large rear garden
- Location Location Location
- Short walk to public transport


**RAY COOKE LETTINGS - EMAIL ENQUIRIES ONLY/NO PHONE CALLS PLEASE- FILL IN YOUR CONTACT INFORMATION ON THE RIGHT HANDSIDE AND CLICK SEND MESSAGE - WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
90,"Grange View Walk, Clondalkin, Dublin 22",22,3 ,2 ,Apartment,"€2,300 per month",2300,"**RAY COOKE LETTINGS €"" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST**

RAY COOKE LETTINGS are delighted to presentthis fine 3 bed semi detached property coming to the market In Grangeview Walk , Clondalkin. Grangeview is located in a superb location close to all amenities of clondalkin village and located near the N7 with easy access to M50 &amp; Luas station. . Living accommodation comprises of entrance hall, kitchen/diningroom, lounge, three bedrooms(2 double/1 single) main bathroom and master bedroom ensuite. This home is in superb condition and is sure to attract a lot of interest. The rear garden is maintained to a high standard and easy to maintain. Extra Features; - Lovely condition throughout - Private rear garden - Double glazed windows - Gas fired central heating - Large bedrooms Bathroom &amp; ensuite - Ample off street parking This house is available soon and we will come back to you when a viewing has been set up.

***RAY COOKE LETTINGS €"" EMAIL ENQUIRY ONLY/NO PHONE CALLS PLEASE €"" FILL IN YOUR CONTACT INFORMATION AND WE WILL CONTACT YOU WITH VIEWING DETAILS WHEN THEY ARISE**"
